id,target
600000,1
600001,0
600002,0
600003,0
600004,1
600005,0
600006,0
600007,1
600008,0
600009,0
600010,1
600011,1
600012,1
600013,0
600014,0
600015,0
600016,0
600017,0
600018,0
600019,0
600020,1
600021,1
600022,0
600023,0
600024,0
600025,0
600026,1
600027,0
600028,0
600029,1
600030,0
600031,0
600032,1
600033,0
600034,1
600035,0
600036,1
600037,0
600038,1
600039,0
600040,0
600041,1
600042,1
600043,1
600044,0
600045,0
600046,0
600047,0
600048,1
600049,1
600050,0
600051,1
600052,1
600053,0
600054,0
600055,0
600056,1
600057,1
600058,0
600059,1
600060,1
600061,0
600062,1
600063,1
600064,1
600065,1
600066,1
600067,0
600068,1
600069,1
600070,0
600071,0
600072,0
600073,1
600074,0
600075,1
600076,1
600077,1
600078,0
600079,1
600080,1
600081,0
600082,0
600083,0
600084,0
600085,1
600086,1
600087,1
600088,0
600089,1
600090,1
600091,0
600092,1
600093,1
600094,1
600095,0
600096,0
600097,0
600098,0
600099,1
600100,1
600101,0
600102,1
600103,1
600104,0
600105,1
600106,0
600107,1
600108,1
600109,0
600110,1
600111,1
600112,1
600113,0
600114,1
600115,1
600116,1
600117,0
600118,1
600119,1
600120,0
600121,1
600122,1
600123,1
600124,0
600125,1
600126,0
600127,1
600128,0
600129,0
600130,0
600131,1
600132,0
600133,1
600134,0
600135,0
600136,1
600137,1
600138,0
600139,1
600140,1
600141,0
600142,1
600143,1
600144,0
600145,1
600146,0
600147,1
600148,1
600149,0
600150,0
600151,1
600152,0
600153,1
600154,0
600155,1
600156,1
600157,0
600158,0
600159,1
600160,0
600161,0
600162,1
600163,1
600164,0
600165,1
600166,0
600167,0
600168,0
600169,0
600170,1
600171,1
600172,1
600173,1
600174,0
600175,0
600176,1
600177,1
600178,0
600179,1
600180,0
600181,1
600182,1
600183,0
600184,0
600185,0
600186,1
600187,1
600188,1
600189,1
600190,1
600191,1
600192,1
600193,0
600194,1
600195,0
600196,1
600197,0
600198,1
600199,0
600200,0
600201,0
600202,1
600203,0
600204,1
600205,1
600206,0
600207,0
600208,1
600209,0
600210,0
600211,1
600212,1
600213,1
600214,1
600215,1
600216,1
600217,1
600218,1
600219,1
600220,1
600221,1
600222,0
600223,1
600224,0
600225,0
600226,1
600227,0
600228,1
600229,1
600230,0
600231,1
600232,0
600233,0
600234,1
600235,1
600236,0
600237,1
600238,1
600239,0
600240,0
600241,1
600242,0
600243,1
600244,1
600245,0
600246,0
600247,0
600248,1
600249,1
600250,0
600251,0
600252,0
600253,0
600254,1
600255,0
600256,1
600257,0
600258,0
600259,1
600260,1
600261,1
600262,0
600263,0
600264,0
600265,1
600266,1
600267,1
600268,1
600269,1
600270,0
600271,1
600272,0
600273,1
600274,1
600275,1
600276,1
600277,0
600278,1
600279,1
600280,1
600281,0
600282,0
600283,1
600284,0
600285,1
600286,0
600287,0
600288,1
600289,0
600290,1
600291,0
600292,0
600293,1
600294,1
600295,0
600296,0
600297,0
600298,1
600299,0
600300,0
600301,1
600302,1
600303,0
600304,0
600305,0
600306,1
600307,1
600308,0
600309,1
600310,0
600311,1
600312,0
600313,0
600314,1
600315,0
600316,1
600317,0
600318,0
600319,1
600320,1
600321,1
600322,0
600323,0
600324,1
600325,1
600326,1
600327,0
600328,0
600329,0
600330,0
600331,0
600332,1
600333,1
600334,0
600335,0
600336,0
600337,1
600338,1
600339,0
600340,1
600341,1
600342,1
600343,1
600344,0
600345,0
600346,0
600347,1
600348,0
600349,0
600350,1
600351,1
600352,1
600353,0
600354,1
600355,0
600356,1
600357,1
600358,0
600359,1
600360,1
600361,1
600362,0
600363,1
600364,1
600365,0
600366,1
600367,1
600368,1
600369,0
600370,1
600371,0
600372,0
600373,1
600374,0
600375,0
600376,0
600377,1
600378,0
600379,1
600380,1
600381,1
600382,0
600383,1
600384,1
600385,0
600386,0
600387,1
600388,0
600389,0
600390,1
600391,0
600392,1
600393,0
600394,0
600395,1
600396,1
600397,1
600398,1
600399,1
600400,0
600401,1
600402,0
600403,1
600404,0
600405,0
600406,1
600407,1
600408,1
600409,0
600410,0
600411,1
600412,0
600413,1
600414,1
600415,1
600416,0
600417,1
600418,0
600419,1
600420,1
600421,0
600422,0
600423,0
600424,0
600425,0
600426,0
600427,0
600428,0
600429,0
600430,0
600431,0
600432,1
600433,1
600434,0
600435,0
600436,0
600437,1
600438,0
600439,0
600440,1
600441,1
600442,0
600443,0
600444,0
600445,0
600446,1
600447,1
600448,1
600449,0
600450,1
600451,1
600452,1
600453,0
600454,0
600455,0
600456,1
600457,0
600458,0
600459,1
600460,0
600461,1
600462,0
600463,0
600464,0
600465,1
600466,1
600467,0
600468,1
600469,0
600470,0
600471,0
600472,0
600473,1
600474,1
600475,0
600476,1
600477,0
600478,0
600479,1
600480,1
600481,1
600482,0
600483,1
600484,0
600485,1
600486,1
600487,0
600488,1
600489,0
600490,1
600491,0
600492,1
600493,1
600494,1
600495,0
600496,0
600497,0
600498,0
600499,1
600500,0
600501,0
600502,1
600503,1
600504,1
600505,0
600506,1
600507,0
600508,0
600509,1
600510,1
600511,1
600512,0
600513,1
600514,0
600515,0
600516,1
600517,1
600518,1
600519,0
600520,1
600521,0
600522,0
600523,1
600524,0
600525,1
600526,0
600527,0
600528,1
600529,1
600530,1
600531,1
600532,1
600533,0
600534,0
600535,1
600536,0
600537,1
600538,0
600539,1
600540,0
600541,1
600542,0
600543,0
600544,0
600545,0
600546,1
600547,0
600548,0
600549,0
600550,1
600551,0
600552,0
600553,0
600554,0
600555,1
600556,0
600557,0
600558,1
600559,1
600560,0
600561,0
600562,1
600563,1
600564,0
600565,1
600566,0
600567,0
600568,0
600569,1
600570,0
600571,0
600572,1
600573,0
600574,1
600575,0
600576,0
600577,1
600578,0
600579,0
600580,0
600581,1
600582,1
600583,0
600584,0
600585,1
600586,1
600587,0
600588,1
600589,1
600590,0
600591,1
600592,1
600593,0
600594,1
600595,1
600596,0
600597,1
600598,1
600599,0
600600,1
600601,1
600602,0
600603,0
600604,1
600605,0
600606,1
600607,0
600608,1
600609,1
600610,0
600611,1
600612,1
600613,0
600614,1
600615,0
600616,0
600617,0
600618,0
600619,1
600620,1
600621,0
600622,0
600623,1
600624,1
600625,0
600626,0
600627,0
600628,1
600629,0
600630,1
600631,1
600632,1
600633,0
600634,0
600635,1
600636,0
600637,1
600638,0
600639,0
600640,1
600641,0
600642,1
600643,1
600644,0
600645,1
600646,1
600647,1
600648,1
600649,1
600650,1
600651,1
600652,1
600653,1
600654,0
600655,1
600656,1
600657,1
600658,0
600659,0
600660,0
600661,0
600662,0
600663,0
600664,0
600665,1
600666,0
600667,0
600668,1
600669,1
600670,1
600671,1
600672,0
600673,1
600674,0
600675,0
600676,0
600677,0
600678,1
600679,1
600680,1
600681,1
600682,0
600683,1
600684,1
600685,1
600686,0
600687,1
600688,0
600689,1
600690,1
600691,1
600692,0
600693,1
600694,0
600695,0
600696,0
600697,0
600698,1
600699,0
600700,0
600701,1
600702,1
600703,1
600704,1
600705,1
600706,1
600707,0
600708,1
600709,0
600710,0
600711,0
600712,0
600713,0
600714,1
600715,0
600716,1
600717,0
600718,0
600719,0
600720,0
600721,1
600722,0
600723,1
600724,0
600725,0
600726,1
600727,0
600728,1
600729,1
600730,1
600731,0
600732,0
600733,0
600734,1
600735,0
600736,0
600737,0
600738,0
600739,0
600740,1
600741,1
600742,0
600743,1
600744,0
600745,0
600746,1
600747,0
600748,0
600749,1
600750,0
600751,1
600752,1
600753,1
600754,1
600755,0
600756,0
600757,0
600758,0
600759,0
600760,0
600761,1
600762,1
600763,0
600764,0
600765,1
600766,0
600767,0
600768,1
600769,0
600770,1
600771,1
600772,1
600773,1
600774,1
600775,0
600776,0
600777,0
600778,1
600779,1
600780,0
600781,0
600782,0
600783,1
600784,0
600785,1
600786,0
600787,0
600788,0
600789,1
600790,1
600791,1
600792,0
600793,0
600794,1
600795,0
600796,1
600797,1
600798,1
600799,0
600800,0
600801,1
600802,1
600803,1
600804,1
600805,1
600806,0
600807,0
600808,0
600809,1
600810,1
600811,1
600812,1
600813,0
600814,1
600815,0
600816,0
600817,0
600818,1
600819,0
600820,1
600821,1
600822,0
600823,1
600824,0
600825,1
600826,0
600827,0
600828,0
600829,1
600830,1
600831,0
600832,1
600833,1
600834,0
600835,1
600836,1
600837,1
600838,1
600839,1
600840,1
600841,1
600842,0
600843,0
600844,1
600845,1
600846,0
600847,0
600848,0
600849,0
600850,0
600851,1
600852,1
600853,1
600854,1
600855,1
600856,0
600857,0
600858,1
600859,1
600860,0
600861,0
600862,0
600863,0
600864,0
600865,0
600866,1
600867,0
600868,1
600869,1
600870,1
600871,1
600872,1
600873,0
600874,0
600875,0
600876,0
600877,0
600878,1
600879,0
600880,1
600881,0
600882,0
600883,0
600884,0
600885,1
600886,0
600887,0
600888,1
600889,0
600890,0
600891,1
600892,0
600893,1
600894,0
600895,1
600896,0
600897,0
600898,0
600899,1
600900,1
600901,0
600902,0
600903,0
600904,1
600905,0
600906,0
600907,1
600908,1
600909,0
600910,1
600911,0
600912,0
600913,1
600914,1
600915,0
600916,1
600917,1
600918,0
600919,1
600920,0
600921,0
600922,1
600923,1
600924,0
600925,0
600926,1
600927,0
600928,0
600929,0
600930,1
600931,0
600932,1
600933,0
600934,1
600935,1
600936,1
600937,1
600938,1
600939,1
600940,1
600941,1
600942,1
600943,1
600944,0
600945,0
600946,0
600947,0
600948,1
600949,0
600950,0
600951,1
600952,0
600953,1
600954,0
600955,0
600956,1
600957,0
600958,1
600959,1
600960,1
600961,1
600962,0
600963,0
600964,0
600965,0
600966,1
600967,1
600968,0
600969,1
600970,1
600971,1
600972,1
600973,0
600974,1
600975,1
600976,0
600977,1
600978,0
600979,0
600980,1
600981,0
600982,0
600983,1
600984,1
600985,0
600986,0
600987,1
600988,0
600989,1
600990,1
600991,1
600992,0
600993,1
600994,0
600995,1
600996,0
600997,0
600998,1
600999,1
601000,1
601001,0
601002,1
601003,1
601004,0
601005,1
601006,1
601007,1
601008,0
601009,0
601010,0
601011,1
601012,1
601013,0
601014,1
601015,0
601016,0
601017,0
601018,0
601019,1
601020,0
601021,0
601022,0
601023,1
601024,1
601025,1
601026,0
601027,1
601028,1
601029,1
601030,0
601031,0
601032,0
601033,1
601034,1
601035,1
601036,1
601037,1
601038,0
601039,1
601040,0
601041,1
601042,0
601043,0
601044,1
601045,0
601046,0
601047,0
601048,1
601049,0
601050,0
601051,0
601052,1
601053,0
601054,1
601055,1
601056,1
601057,1
601058,0
601059,0
601060,1
601061,0
601062,0
601063,1
601064,1
601065,0
601066,0
601067,0
601068,1
601069,0
601070,1
601071,1
601072,1
601073,0
601074,1
601075,1
601076,1
601077,1
601078,1
601079,0
601080,0
601081,0
601082,1
601083,0
601084,0
601085,0
601086,0
601087,1
601088,1
601089,1
601090,1
601091,0
601092,1
601093,0
601094,1
601095,1
601096,1
601097,0
601098,1
601099,1
601100,1
601101,1
601102,1
601103,1
601104,0
601105,0
601106,0
601107,1
601108,1
601109,1
601110,0
601111,0
601112,0
601113,0
601114,0
601115,1
601116,0
601117,0
601118,1
601119,0
601120,1
601121,1
601122,0
601123,0
601124,1
601125,0
601126,0
601127,1
601128,0
601129,1
601130,1
601131,1
601132,0
601133,1
601134,0
601135,1
601136,1
601137,0
601138,0
601139,1
601140,1
601141,0
601142,0
601143,1
601144,0
601145,0
601146,1
601147,1
601148,0
601149,0
601150,1
601151,1
601152,0
601153,1
601154,1
601155,1
601156,0
601157,1
601158,1
601159,1
601160,0
601161,0
601162,1
601163,0
601164,0
601165,1
601166,1
601167,1
601168,1
601169,0
601170,0
601171,0
601172,1
601173,0
601174,0
601175,0
601176,1
601177,1
601178,0
601179,1
601180,0
601181,1
601182,0
601183,0
601184,0
601185,1
601186,0
601187,1
601188,1
601189,1
